Process running on:  iscpc88.epfl.ch
Time is:             Mon Aug 5 17:38:42 CEST 2024
Start Time is:             Mon Aug 5 17:38:42 CEST 2024
[2024-08-05 17:38:49,701][HYDRA] Launching 18 jobs locally
[2024-08-05 17:38:49,701][HYDRA] 	#0 : use_wandb=False algorithm=gbs seed=2 target=gaussian_mixture10 target.dim=10
2024-08-05 17:38:57.704039: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
[2024-08-05 17:39:07,271][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-08-05 17:39:07,292][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-08-05 17:39:08.087792: W external/xla/xla/service/gpu/nvptx_compiler.cc:836] The NVIDIA driver's CUDA version is 12.5 which is older than the PTX compiler version (12.6.20). Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
Step 0: ELBO -69.13829803466797; Δ lnZ -4.098158359527588; reverse_ESS 0.0005881276447325945
Step 8300: ELBO -210.38778686523438; Δ lnZ -157.834716796875; reverse_ESS 0.0006406001630239189
Step 8400: ELBO -210.50885009765625; Δ lnZ -140.5961151123047; reverse_ESS 0.0005007996805943549
Step 8500: ELBO -210.2667694091797; Δ lnZ -151.4203338623047; reverse_ESS 0.0008196803973987699
Step 8600: ELBO -209.72642517089844; Δ lnZ -142.9857635498047; reverse_ESS 0.0005000298260711133
Step 8700: ELBO -209.95877075195312; Δ lnZ -150.80149841308594; reverse_ESS 0.0010516203474253416
Step 8800: ELBO -209.5876007080078; Δ lnZ -150.35809326171875; reverse_ESS 0.0005162109155207872
Step 8900: ELBO -209.9755096435547; Δ lnZ -142.80174255371094; reverse_ESS 0.0005528341280296445
Step 9000: ELBO -209.97979736328125; Δ lnZ -156.00621032714844; reverse_ESS 0.000503642251715064
Step 9100: ELBO -210.0265655517578; Δ lnZ -151.49075317382812; reverse_ESS 0.0005220733000896871
Step 9200: ELBO -209.16119384765625; Δ lnZ -149.0276336669922; reverse_ESS 0.0006310725584626198
Step 9300: ELBO -210.41290283203125; Δ lnZ -160.3376922607422; reverse_ESS 0.0012718664947897196
Step 9400: ELBO -209.92572021484375; Δ lnZ -128.83380126953125; reverse_ESS 0.0005000000237487257
Step 9500: ELBO -209.9201202392578; Δ lnZ -149.09262084960938; reverse_ESS 0.0005749769043177366
Step 9600: ELBO -210.01290893554688; Δ lnZ -153.42279052734375; reverse_ESS 0.0005010766326449811
Step 9700: ELBO -210.29713439941406; Δ lnZ -141.9998321533203; reverse_ESS 0.0005000020610168576
Step 9800: ELBO -210.37049865722656; Δ lnZ -154.5225372314453; reverse_ESS 0.0007360154995694757
Step 9900: ELBO -209.91635131835938; Δ lnZ -142.64599609375; reverse_ESS 0.0005002903053537011
Step 9999: ELBO -210.73321533203125; Δ lnZ -153.6523895263672; reverse_ESS 0.0008836124325171113
[2024-08-05 20:55:33,894][HYDRA] 	#5 : use_wandb=False algorithm=gbs seed=2 target=student_t_mixture target.dim=200
Step 0: ELBO -487.9220886230469; Δ lnZ -398.9027099609375; reverse_ESS 0.0005000862292945385
Step 100: ELBO -452.3253479003906; Δ lnZ -365.8143615722656; reverse_ESS 0.0005000251694582403
Step 200: ELBO -450.07781982421875; Δ lnZ -346.1700439453125; reverse_ESS 0.0005165445618331432
Step 300: ELBO -444.1100769042969; Δ lnZ -344.5356140136719; reverse_ESS 0.0005000044475309551
Step 400: ELBO -441.5927734375; Δ lnZ -363.76934814453125; reverse_ESS 0.0005228479858487844
Step 500: ELBO -440.4947814941406; Δ lnZ -356.2893981933594; reverse_ESS 0.0008677843143232167
Step 600: ELBO -440.93304443359375; Δ lnZ -335.62969970703125; reverse_ESS 0.0005000000237487257
Step 700: ELBO -440.07110595703125; Δ lnZ -359.0894775390625; reverse_ESS 0.0008160697761923075
Step 800: ELBO -440.1248474121094; Δ lnZ -347.81011962890625; reverse_ESS 0.0005000019446015358
Step 900: ELBO -438.7697448730469; Δ lnZ -328.030029296875; reverse_ESS 0.0005000000237487257
Step 1000: ELBO -439.9427185058594; Δ lnZ -354.3642272949219; reverse_ESS 0.0005006575374864042
Step 1100: ELBO -439.7416076660156; Δ lnZ -359.1822204589844; reverse_ESS 0.0005000820383429527
Step 1200: ELBO -440.25250244140625; Δ lnZ -363.0757751464844; reverse_ESS 0.0006808888865634799
Step 1300: ELBO -439.1885070800781; Δ lnZ -344.44317626953125; reverse_ESS 0.0005068330792710185
Step 1400: ELBO -439.97967529296875; Δ lnZ -342.87451171875; reverse_ESS 0.0005000014789402485
Step 1500: ELBO -439.4685974121094; Δ lnZ -333.32232666015625; reverse_ESS 0.0005000000237487257
Step 1600: ELBO -440.5537109375; Δ lnZ -339.7116394042969; reverse_ESS 0.0005007280269637704
Step 1700: ELBO -439.28533935546875; Δ lnZ -353.0295715332031; reverse_ESS 0.0007777444552630186
Step 1800: ELBO -440.4527893066406; Δ lnZ -360.3716125488281; reverse_ESS 0.0009503911132924259
Step 1900: ELBO -439.0829772949219; Δ lnZ -332.661865234375; reverse_ESS 0.0005000000237487257
Step 2000: ELBO -439.77679443359375; Δ lnZ -354.4305419921875; reverse_ESS 0.0008730752160772681
Step 2100: ELBO -438.47003173828125; Δ lnZ -341.20989990234375; reverse_ESS 0.0005000472301617265
Step 2200: ELBO -438.37677001953125; Δ lnZ -354.39886474609375; reverse_ESS 0.0007113351603038609
Step 2300: ELBO -439.64996337890625; Δ lnZ -346.3577575683594; reverse_ESS 0.0005003261612728238
Step 2400: ELBO -438.8910217285156; Δ lnZ -351.8782958984375; reverse_ESS 0.0005106205935589969
Step 2500: ELBO -439.5519714355469; Δ lnZ -360.1361389160156; reverse_ESS 0.0005207032081671059
Step 2600: ELBO -438.52813720703125; Δ lnZ -345.2923278808594; reverse_ESS 0.0005000123055651784
Step 2700: ELBO -438.49713134765625; Δ lnZ -363.83251953125; reverse_ESS 0.0009804588044062257
Step 2800: ELBO -438.1292724609375; Δ lnZ -357.48590087890625; reverse_ESS 0.0013852693373337388
Step 2900: ELBO -437.62908935546875; Δ lnZ -319.5448303222656; reverse_ESS 0.0005000000237487257
Step 3000: ELBO -437.9039611816406; Δ lnZ -370.8821716308594; reverse_ESS 0.0009538824087940156
Step 3100: ELBO -438.9091796875; Δ lnZ -359.21612548828125; reverse_ESS 0.0010891699930652976
Step 3200: ELBO -437.51556396484375; Δ lnZ -337.28692626953125; reverse_ESS 0.0005000000237487257
Step 3300: ELBO -438.7882080078125; Δ lnZ -349.0325012207031; reverse_ESS 0.0005000274395570159
Step 3400: ELBO -438.9622802734375; Δ lnZ -335.1644287109375; reverse_ESS 0.0005000000237487257
Step 3500: ELBO -437.2454528808594; Δ lnZ -356.1220703125; reverse_ESS 0.0010693323565647006
Step 3600: ELBO -437.3218078613281; Δ lnZ -354.55621337890625; reverse_ESS 0.0005094124935567379
Step 3700: ELBO -437.37969970703125; Δ lnZ -345.6066589355469; reverse_ESS 0.0005028359591960907
Step 3800: ELBO -437.702392578125; Δ lnZ -348.02447509765625; reverse_ESS 0.0005000000237487257
Step 3900: ELBO -436.7792053222656; Δ lnZ -355.48333740234375; reverse_ESS 0.0006080431630834937
Step 4000: ELBO -437.31689453125; Δ lnZ -341.9801940917969; reverse_ESS 0.0005000243545509875
Step 4100: ELBO -436.89971923828125; Δ lnZ -357.6568603515625; reverse_ESS 0.0009757326915860176
Step 4200: ELBO -436.00445556640625; Δ lnZ -348.5837097167969; reverse_ESS 0.0005272083217278123
Step 4300: ELBO -437.6208190917969; Δ lnZ -323.2135314941406; reverse_ESS 0.0005002858815714717
Step 4400: ELBO -436.48321533203125; Δ lnZ -345.0041198730469; reverse_ESS 0.0005058128153905272
Step 4500: ELBO -436.9361877441406; Δ lnZ -351.500244140625; reverse_ESS 0.0005020061507821083
Step 4600: ELBO -436.2320861816406; Δ lnZ -349.1771240234375; reverse_ESS 0.0006960590253584087
Step 4700: ELBO -436.7670593261719; Δ lnZ -346.029052734375; reverse_ESS 0.0005000013625249267
Step 4800: ELBO -436.8138732910156; Δ lnZ -339.00299072265625; reverse_ESS 0.0005000000237487257
Step 4900: ELBO -436.15301513671875; Δ lnZ -346.73419189453125; reverse_ESS 0.0005224775522947311
Step 5000: ELBO -436.3859558105469; Δ lnZ -351.9800720214844; reverse_ESS 0.0005069791222922504
Step 5100: ELBO -436.7535400390625; Δ lnZ -358.76116943359375; reverse_ESS 0.0005207003559917212
Step 5200: ELBO -436.06634521484375; Δ lnZ -342.6745300292969; reverse_ESS 0.0009622429497539997
Step 5300: ELBO -435.7174987792969; Δ lnZ -352.1939392089844; reverse_ESS 0.0005270162364467978
Step 5400: ELBO -435.36761474609375; Δ lnZ -364.4510803222656; reverse_ESS 0.0008488143794238567
Step 5500: ELBO -436.60308837890625; Δ lnZ -330.5108337402344; reverse_ESS 0.0005232192343100905
Step 5600: ELBO -435.79840087890625; Δ lnZ -348.8012390136719; reverse_ESS 0.0011509218020364642
Step 5700: ELBO -435.47174072265625; Δ lnZ -339.61395263671875; reverse_ESS 0.0005000001401640475
Step 5800: ELBO -435.4053955078125; Δ lnZ -348.8040466308594; reverse_ESS 0.001601983211003244
Step 5900: ELBO -435.4046936035156; Δ lnZ -347.18829345703125; reverse_ESS 0.0005136706167832017
Step 6000: ELBO -434.7727966308594; Δ lnZ -331.6624755859375; reverse_ESS 0.0005000000237487257
Step 6100: ELBO -434.26824951171875; Δ lnZ -351.9880676269531; reverse_ESS 0.0005437523359432817
Step 6200: ELBO -436.0926818847656; Δ lnZ -343.1349792480469; reverse_ESS 0.0005000009550713003
Step 6300: ELBO -435.7374572753906; Δ lnZ -345.77294921875; reverse_ESS 0.0005017420626245439
Step 6400: ELBO -435.65069580078125; Δ lnZ -340.9111633300781; reverse_ESS 0.0005000257515348494
Step 6500: ELBO -436.9764099121094; Δ lnZ -358.11572265625; reverse_ESS 0.0005562246078625321
Step 6600: ELBO -436.1920471191406; Δ lnZ -356.72576904296875; reverse_ESS 0.0012948417570441961
Step 6700: ELBO -435.3824462890625; Δ lnZ -349.60687255859375; reverse_ESS 0.0005004729027859867
Step 6800: ELBO -435.8880920410156; Δ lnZ -357.12017822265625; reverse_ESS 0.0008486767183057964
Step 6900: ELBO -435.3256530761719; Δ lnZ -362.14581298828125; reverse_ESS 0.0005741206696256995
Step 7000: ELBO -436.7637939453125; Δ lnZ -355.9791564941406; reverse_ESS 0.0005000107339583337
Step 7100: ELBO -434.546875; Δ lnZ -342.4921569824219; reverse_ESS 0.0005527811590582132
Step 7200: ELBO -436.71051025390625; Δ lnZ -350.32501220703125; reverse_ESS 0.0005000116070732474
Step 7300: ELBO -435.569580078125; Δ lnZ -337.08514404296875; reverse_ESS 0.0005000001401640475
Step 7400: ELBO -435.12957763671875; Δ lnZ -340.7197570800781; reverse_ESS 0.0005188265931792557
Step 7500: ELBO -435.55633544921875; Δ lnZ -357.86029052734375; reverse_ESS 0.0009075946873053908
Step 7600: ELBO -435.1830749511719; Δ lnZ -341.3556213378906; reverse_ESS 0.0005135536193847656
Step 7700: ELBO -436.5096435546875; Δ lnZ -336.635498046875; reverse_ESS 0.0005000000237487257
Step 7800: ELBO -435.8864440917969; Δ lnZ -344.8454895019531; reverse_ESS 0.0005000100354664028
Step 7900: ELBO -435.88720703125; Δ lnZ -348.8223571777344; reverse_ESS 0.0005138039123266935
Step 8000: ELBO -435.8992919921875; Δ lnZ -328.607177734375; reverse_ESS 0.0005000000237487257
Step 8100: ELBO -435.67620849609375; Δ lnZ -330.3158264160156; reverse_ESS 0.0005000297096557915
Step 8200: ELBO -435.8407287597656; Δ lnZ -336.7028503417969; reverse_ESS 0.0005000001401640475
Step 8300: ELBO -435.5149841308594; Δ lnZ -352.7212829589844; reverse_ESS 0.000512554426677525
Step 8400: ELBO -435.7994689941406; Δ lnZ -325.1453857421875; reverse_ESS 0.0005000000237487257
Step 8500: ELBO -435.1824035644531; Δ lnZ -344.7824401855469; reverse_ESS 0.0005011879839003086
Step 8600: ELBO -435.8446350097656; Δ lnZ -343.01806640625; reverse_ESS 0.0005001647514291108
Step 8700: ELBO -436.361572265625; Δ lnZ -342.0205078125; reverse_ESS 0.0005000031087547541
Step 8800: ELBO -435.1279602050781; Δ lnZ -353.3021240234375; reverse_ESS 0.0005304066580720246
Step 8900: ELBO -436.1429748535156; Δ lnZ -345.8504638671875; reverse_ESS 0.0005000120727345347
Step 9000: ELBO -435.62432861328125; Δ lnZ -335.1512756347656; reverse_ESS 0.0005000000237487257
Step 9100: ELBO -435.9456481933594; Δ lnZ -353.1559753417969; reverse_ESS 0.0005017978837713599
Step 9200: ELBO -435.4153747558594; Δ lnZ -352.20806884765625; reverse_ESS 0.0005579785793088377
Step 9300: ELBO -435.852783203125; Δ lnZ -342.112060546875; reverse_ESS 0.0005000017117708921
Step 9400: ELBO -435.7605285644531; Δ lnZ -341.0697326660156; reverse_ESS 0.0005000399542041123
Step 9500: ELBO -435.64794921875; Δ lnZ -351.1925354003906; reverse_ESS 0.000500204972922802
Step 9600: ELBO -435.27667236328125; Δ lnZ -338.3790588378906; reverse_ESS 0.0005000054952688515
Step 9700: ELBO -434.20465087890625; Δ lnZ -347.1463623046875; reverse_ESS 0.0005811012233607471
Step 9800: ELBO -435.929443359375; Δ lnZ -352.4732971191406; reverse_ESS 0.00113448326010257
Step 9900: ELBO -434.1067810058594; Δ lnZ -355.66998291015625; reverse_ESS 0.0005011195316910744
Step 9999: ELBO -433.72283935546875; Δ lnZ -344.0173645019531; reverse_ESS 0.000605634821113199
[2024-08-05 21:46:59,870][HYDRA] 	#6 : use_wandb=False algorithm=gbs seed=3 target=gaussian_mixture10 target.dim=10
Step 0: ELBO -68.76570129394531; Δ lnZ -9.142430305480957; reverse_ESS 0.0019446841906756163
Step 100: ELBO -1.6221343278884888; Δ lnZ -0.19884300231933594; reverse_ESS 0.07687480002641678
Step 200: ELBO -1.5365474224090576; Δ lnZ -0.057009220123291016; reverse_ESS 0.04217269644141197
Step 300: ELBO -1.5143016576766968; Δ lnZ -0.11827373504638672; reverse_ESS 0.07542162388563156
Step 400: ELBO -1.6357948780059814; Δ lnZ -0.1794414520263672; reverse_ESS 0.12236214429140091
Step 500: ELBO -1.7015101909637451; Δ lnZ -0.17853879928588867; reverse_ESS 0.09061063826084137
Step 600: ELBO -1.688435673713684; Δ lnZ -0.2829909324645996; reverse_ESS 0.10219237208366394
Step 700: ELBO -1.6320525407791138; Δ lnZ -0.1823410987854004; reverse_ESS 0.07507535815238953
Step 800: ELBO -1.5644270181655884; Δ lnZ 0.05674171447753906; reverse_ESS 0.03334646672010422
Step 900: ELBO -1.5571401119232178; Δ lnZ -0.1901540756225586; reverse_ESS 0.08043695986270905
Step 1000: ELBO -1.4448565244674683; Δ lnZ -0.08860206604003906; reverse_ESS 0.12561410665512085
Step 1100: ELBO -1.4946329593658447; Δ lnZ 1.2934646606445312; reverse_ESS 0.0008374906028620899
Step 1200: ELBO -1.4156712293624878; Δ lnZ -0.15578126907348633; reverse_ESS 0.08097400516271591
Step 1300: ELBO -1.4156404733657837; Δ lnZ -0.021249771118164062; reverse_ESS 0.021968452259898186
Step 1400: ELBO -1.3970615863800049; Δ lnZ -0.03759002685546875; reverse_ESS 0.05263959616422653
Step 1500: ELBO -1.3244404792785645; Δ lnZ 0.003470897674560547; reverse_ESS 0.01762963831424713
Step 1600: ELBO -1.4016023874282837; Δ lnZ 0.705134391784668; reverse_ESS 0.0017152214422821999
Step 1700: ELBO -1.3161872625350952; Δ lnZ 0.018733978271484375; reverse_ESS 0.05656961724162102
Step 1800: ELBO -1.3461992740631104; Δ lnZ 0.07665205001831055; reverse_ESS 0.014839420095086098
Step 1900: ELBO -1.2793463468551636; Δ lnZ 2.2310714721679688; reverse_ESS 0.0006022765883244574
Step 2000: ELBO -1.2697254419326782; Δ lnZ 0.023619651794433594; reverse_ESS 0.037128012627363205
Step 2100: ELBO -1.2382713556289673; Δ lnZ -0.19223451614379883; reverse_ESS 0.2155105173587799
Step 2200: ELBO -1.2348377704620361; Δ lnZ -0.056670188903808594; reverse_ESS 0.11861734092235565
Step 2300: ELBO -1.2390986680984497; Δ lnZ -0.12406253814697266; reverse_ESS 0.1279151737689972
Step 2400: ELBO -1.2072287797927856; Δ lnZ -0.008634567260742188; reverse_ESS 0.06636925041675568
Step 2500: ELBO -1.1981432437896729; Δ lnZ -0.01990032196044922; reverse_ESS 0.10040029883384705
Step 2600: ELBO -1.218930721282959; Δ lnZ -0.10937881469726562; reverse_ESS 0.16140703856945038
Step 2700: ELBO -1.154342532157898; Δ lnZ -0.044953346252441406; reverse_ESS 0.10118092596530914
Step 2800: ELBO -1.200080156326294; Δ lnZ -0.1542210578918457; reverse_ESS 0.1299775242805481
Step 2900: ELBO -1.1845070123672485; Δ lnZ -0.13840913772583008; reverse_ESS 0.13940809667110443
Step 3000: ELBO -1.1952012777328491; Δ lnZ -0.12599849700927734; reverse_ESS 0.16441676020622253
Step 3100: ELBO -1.1578189134597778; Δ lnZ -0.1214752197265625; reverse_ESS 0.18339620530605316
Step 3200: ELBO -1.1619688272476196; Δ lnZ -0.04935312271118164; reverse_ESS 0.10033419728279114
Step 3300: ELBO -1.1520650386810303; Δ lnZ 0.06809425354003906; reverse_ESS 0.04148538038134575
Step 3400: ELBO -1.1153056621551514; Δ lnZ 0.08709430694580078; reverse_ESS 0.057262618094682693
Step 3500: ELBO -1.0865451097488403; Δ lnZ -0.08719825744628906; reverse_ESS 0.2019653022289276
Step 3600: ELBO -1.1080588102340698; Δ lnZ -0.014750957489013672; reverse_ESS 0.1546722650527954
Step 3700: ELBO -1.1286299228668213; Δ lnZ -0.05135917663574219; reverse_ESS 0.128960520029068
Step 3800: ELBO -1.0886038541793823; Δ lnZ -0.03203725814819336; reverse_ESS 0.18006472289562225
Step 3900: ELBO -1.0839482545852661; Δ lnZ 0.03877735137939453; reverse_ESS 0.07563585042953491
Step 4000: ELBO -1.1060855388641357; Δ lnZ -0.09800195693969727; reverse_ESS 0.15919284522533417
Step 4100: ELBO -1.1010407209396362; Δ lnZ -0.0951700210571289; reverse_ESS 0.15992920100688934
Step 4200: ELBO -1.0856136083602905; Δ lnZ -0.10486602783203125; reverse_ESS 0.1598837971687317
Step 4300: ELBO -1.0349514484405518; Δ lnZ 0.11054420471191406; reverse_ESS 0.07905526459217072
Step 4400: ELBO -1.1395695209503174; Δ lnZ -0.1483631134033203; reverse_ESS 0.18070411682128906
Step 4500: ELBO -1.02692711353302; Δ lnZ 0.014596939086914062; reverse_ESS 0.09134416282176971
Step 4600: ELBO -1.035989761352539; Δ lnZ -0.07045602798461914; reverse_ESS 0.19877082109451294
Step 4700: ELBO -1.0838454961776733; Δ lnZ -0.03908395767211914; reverse_ESS 0.17411617934703827
Step 4800: ELBO -1.0394580364227295; Δ lnZ 0.14541244506835938; reverse_ESS 0.02903989888727665
Step 4900: ELBO -1.0669941902160645; Δ lnZ -0.1478595733642578; reverse_ESS 0.1823316067457199
Step 5000: ELBO -0.9804402589797974; Δ lnZ -0.022418498992919922; reverse_ESS 0.16759660840034485
Step 5100: ELBO -1.0627998113632202; Δ lnZ -0.07247114181518555; reverse_ESS 0.22389326989650726
Step 5200: ELBO -1.0658072233200073; Δ lnZ -0.013888359069824219; reverse_ESS 0.14230957627296448
Step 5300: ELBO -1.0912059545516968; Δ lnZ -0.07946586608886719; reverse_ESS 0.13642556965351105
Step 5400: ELBO -1.0370968580245972; Δ lnZ -0.02469348907470703; reverse_ESS 0.11852607876062393
Step 5500: ELBO -1.0686436891555786; Δ lnZ -0.07437753677368164; reverse_ESS 0.2011602520942688
Step 5600: ELBO -0.9721044301986694; Δ lnZ 0.01132965087890625; reverse_ESS 0.1785370111465454
Step 5700: ELBO -1.0269031524658203; Δ lnZ -0.046784400939941406; reverse_ESS 0.08792662620544434
Step 5800: ELBO -1.0290794372558594; Δ lnZ 0.08420372009277344; reverse_ESS 0.05138746276497841
Step 5900: ELBO -0.9993388652801514; Δ lnZ 0.05667304992675781; reverse_ESS 0.08267030864953995
Step 6000: ELBO -1.0659199953079224; Δ lnZ -0.07616710662841797; reverse_ESS 0.11020366847515106
Step 6100: ELBO -1.0090916156768799; Δ lnZ -0.016275405883789062; reverse_ESS 0.16260729730129242
Step 6200: ELBO -1.022929072380066; Δ lnZ 0.46638965606689453; reverse_ESS 0.002626677043735981
Step 6300: ELBO -1.0090909004211426; Δ lnZ -0.04785633087158203; reverse_ESS 0.1263410449028015
Step 6400: ELBO -0.9789804816246033; Δ lnZ -0.07293891906738281; reverse_ESS 0.1594201773405075
Step 6500: ELBO -0.9918151497840881; Δ lnZ 0.028382301330566406; reverse_ESS 0.09073714911937714
Step 6600: ELBO -0.9570400714874268; Δ lnZ -0.010288715362548828; reverse_ESS 0.17034544050693512
Step 6700: ELBO -1.0018588304519653; Δ lnZ -0.04982566833496094; reverse_ESS 0.1482083648443222
Step 6800: ELBO -1.0047392845153809; Δ lnZ -0.10103225708007812; reverse_ESS 0.22226816415786743
Step 6900: ELBO -0.9604014158248901; Δ lnZ -0.08139801025390625; reverse_ESS 0.21674978733062744
Step 7000: ELBO -0.9103403687477112; Δ lnZ 0.5716543197631836; reverse_ESS 0.003142070025205612
Step 7100: ELBO -1.006496787071228; Δ lnZ -0.05289745330810547; reverse_ESS 0.13286134600639343
Step 7200: ELBO -0.9550181031227112; Δ lnZ 0.04960489273071289; reverse_ESS 0.11256597936153412
Step 7300: ELBO -0.9591050148010254; Δ lnZ -0.058222293853759766; reverse_ESS 0.20436745882034302
Step 7400: ELBO -0.9213888645172119; Δ lnZ -0.042615413665771484; reverse_ESS 0.2013205587863922
Step 7500: ELBO -0.9755092263221741; Δ lnZ -0.06055450439453125; reverse_ESS 0.20420368015766144
Step 7600: ELBO -0.994456946849823; Δ lnZ -0.004976749420166016; reverse_ESS 0.10421427339315414
Step 7700: ELBO -0.8824533224105835; Δ lnZ -0.025334835052490234; reverse_ESS 0.22355812788009644
Step 7800: ELBO -0.9376106262207031; Δ lnZ 0.02471780776977539; reverse_ESS 0.11085929721593857
Step 7900: ELBO -0.9753998517990112; Δ lnZ -0.04469585418701172; reverse_ESS 0.1444491744041443
Step 8000: ELBO -0.9035027027130127; Δ lnZ -0.03667259216308594; reverse_ESS 0.20041267573833466
Step 8100: ELBO -0.9145781397819519; Δ lnZ -0.05217695236206055; reverse_ESS 0.1423514038324356
Step 8200: ELBO -0.9113090634346008; Δ lnZ 0.0028815269470214844; reverse_ESS 0.16712045669555664
Step 8300: ELBO -0.9673147201538086; Δ lnZ -0.0862579345703125; reverse_ESS 0.15048138797283173
Step 8400: ELBO -0.9924535155296326; Δ lnZ -0.05145740509033203; reverse_ESS 0.15082426369190216
Step 8500: ELBO -0.886511504650116; Δ lnZ 0.08513927459716797; reverse_ESS 0.07913083583116531
Step 8600: ELBO -0.9222366213798523; Δ lnZ -0.06168651580810547; reverse_ESS 0.163526251912117
Step 8700: ELBO -0.9442442655563354; Δ lnZ -0.03903388977050781; reverse_ESS 0.1718592792749405
Step 8800: ELBO -0.8904074430465698; Δ lnZ 0.011284351348876953; reverse_ESS 0.16003206372261047
Step 8900: ELBO -0.9010283946990967; Δ lnZ 0.015415191650390625; reverse_ESS 0.13774022459983826
Step 9000: ELBO -0.9116920232772827; Δ lnZ -0.008630752563476562; reverse_ESS 0.1473262459039688
Step 9100: ELBO -0.9058244824409485; Δ lnZ 0.02762126922607422; reverse_ESS 0.14345087110996246
Step 9200: ELBO -0.897033154964447; Δ lnZ -0.013285636901855469; reverse_ESS 0.21938148140907288
Step 9300: ELBO -0.9184028506278992; Δ lnZ 0.019802093505859375; reverse_ESS 0.17203599214553833
Step 9400: ELBO -0.9532073140144348; Δ lnZ -0.1068720817565918; reverse_ESS 0.24919791519641876
Step 9500: ELBO -0.9747510552406311; Δ lnZ -0.10898923873901367; reverse_ESS 0.20338208973407745
Step 9600: ELBO -0.853269636631012; Δ lnZ -0.0360569953918457; reverse_ESS 0.247616246342659
Step 9700: ELBO -0.9218253493309021; Δ lnZ -0.06121969223022461; reverse_ESS 0.15559643507003784
Step 9800: ELBO -0.9276824593544006; Δ lnZ -0.10741329193115234; reverse_ESS 0.23563678562641144
Step 9900: ELBO -0.9002231359481812; Δ lnZ -0.010869979858398438; reverse_ESS 0.10605728626251221
Step 9999: ELBO -0.8929968476295471; Δ lnZ -0.010510444641113281; reverse_ESS 0.12909217178821564
[2024-08-05 22:18:23,927][HYDRA] 	#7 : use_wandb=False algorithm=gbs seed=3 target=gaussian_mixture10 target.dim=100
